linkText,expectedText,condition
About us,Learn more about us,DirectLink
For agents,What’s new from Nationwide,DirectLink
Careers,What will you find at Nationwide?,DirectLink
Help center,Help Center,DirectLink
Now From Nationwide® Blog,Now from Nationwide,DirectLink
En Español,No hace falta iniciar sesión,DirectLink
Financial professional & investment firm,Trending insights,DirectLink
Institutional investors,Quarterly webinars,DirectLink
Employer/plan sponsor,Login For Plan Sponsors,DirectLink
Pension administrator,Site Requirements,DirectLink
Partners & developers, Fueling growth through partnership,DirectLink
Privacy,Privacy,DirectLink
Cyber security,Report a cybersecurity vulnerability,DirectLink
California Consumer Privacy Act,For California Consumers Only,DirectLink
Accessibility,Website Accessibility,DirectLink
Terms and conditions,Terms and conditions of use,DirectLink
Do Not Sell or Share My Personal Information,About Cookies on This Site,DirectLink
